Address,City,State,Zipcode,latitude,longitude,Common Name,Tree,Detail,Image URL,Image_name
1150 Golden Gate Avenue,San Francisco,CA,94115,37.7804513,-122.42958,bushy yate,Eucalyptus conferruminata,"four large trees mid-block between Webster and Buchanan, between sidewalk and building",,default_tree.png
1650 Octavia Street,San Francisco,CA,94109,37.7874603,-122.42651,blue gum,Eucalyptus globulus ,Across the street,,default_tree.png
,,,,37.759746,-122.422556,spotted gum,Eucalyptus maculata,https://i.postimg.cc/QMz1XnP5/spottedgum.jpg,,eucalyptus_maculata.jpg
418 Eugenia Street,San Francisco,CA,94110,37.740658,-122.41857,Nichol's willow-leaf peppermint tree,Eucalyptus nicholii,,,default_tree.png
946 Diamond,San Francisco,CA,94114,37.749681,-122.43641,silver dollar gum,Eucalyptus polyanthemos,on 25th Street side,,default_tree.png
3770 24th Street,San Francisco,CA,94114,37.752002,-122.42688,silver leaved mountain eucalyptus,Eucalyptus pulverulenta,,,default_tree.png
,,,,37.758526,-122.432498,swamp mahogany,Eucalyptus robusta,corner of Noe and Cumberland; just uphill (south) from the beginning of the Cumberland stairs,https://i.postimg.cc/Y9WtBpqX/swampmahogany.jpg,default_tree.png
,,,,37.798558,-122.447552,Sydney blue gum,Eucalyptus saligna,"just inside Lombard gate, on your right",,default_tree.png
467 Pennsylvania Avenue,San Francisco,CA,94107,37.76062,-122.39308,red ironbark,Eucalyptus sideroxylon,,,default_tree.png
,,,,37.736196,-122.465537,European beech,fagus sylvatica,"Address is 140 San Anselmo, but the tree is on the San Buenaventura Way side of the house",,default_tree.png
230 Santa Clara Avenue,San Francisco,CA,94127,37.736329,-122.46667,European beech,fagus sylvatica,"three trees in yard (purple-leafed variety that is often referred to as ""purple beech"")",,default_tree.png
655 Beach Street,San Francisco,CA,94109,37.806537,-122.42023,common fig,Ficus carica,"Across street from this address, on side of a brick building",,default_tree.png
,,,,37.747451,-122.420402,Moreton Bay fig,Ficus macrophylla,"tree is on the Valencia Street side, next to a historical marker about the Bancroft Library",https://imgur.com/a/arwoMgN,ficus_macrophylla.jpg
,,CA,,37.791145,-122.447552,ficus,Ficus microcarpa,set in yard off street at NE corner of Mission and Beale,,default_tree.png
211 Miramar Avenue,San Francisco,CA,94112,37.7222201,-122.45846,narrow-leafed ash,Fraxinus augustifolia,,,default_tree.png
500 Cortland Avenue,San Francisco,CA,94110,37.738852,-122.41615,flowering ash,Fraxinus ornus,in front of Bernal Heights library,,default_tree.png
721 Cole Street,San Francisco,CA,94117,37.768092,-122.45073,evergreen ash,Fraxinus uhdei,,,default_tree.png
1629 Dolores Street,San Francisco,CA,94110,37.743392,-122.42396,ginkgo,Ginkgo biloba,,,default_tree.png
3520 18th Street,San Francisco,CA,94110,37.761825,-122.42217,silk oak,Grevillea robusta,another around the corner at 696 Valencia,,grevillea_robusta.jpg
1834 Hyde Street,San Francisco,CA,94109,37.79789,-122.41853,Mediterranean fan palm,hamaerops humilis ,"five specimens above the garage, one poking out from the fence next to the door",,default_tree.png
,,,,37.771502,-122.454589,Monterey cypress,Hesperocyparis macrocarpa,"in front of McLaren Lodge - the San Francisco ""Christmas Tree""",https://imgur.com/a/Jg2q96c,hesperosyparis_macrocarpa.jpg
292 Arlington Street,San Francisco,CA,94131,37.736951,-122.42715,kentia palm,Howea forsteriana,,,default_tree.png
1000 Cole Street,San Francisco,CA,94117,37.764774,-122.44952,sweetshade tree,Hymenosporum flavum,,,default_tree.png
1230 Castro Street,San Francisco,CA,94114,37.751628,-122.4344,sweetshade tree,Hymenosporum flavum,,,default_tree.png
559 Texas Street,San Francisco,CA,94107,37.759324,-122.39493,jacaranda,Jacaranda mimosifolia,,,default_tree.png
,,,,37.770779,-122.457104,Chilean wine palm,Jubaea chilensis,"in Golden Gate Park, on JFK Drive across from Conservatory Drive",https://i.postimg.cc/bYD6LMVw/Jubaea.jpg,jubaea_chilensis.jpg
460 Yerba Buena Avenue,San Francisco,CA,94127,37.7314084,-122.45879,Chilean wine palm,Jubaea chilensis,,,jubaea_chilensis_yerba_buena.jpg
84 Latona Street,San Francisco,CA,94124,37.731139,-122.39295,English walnut,Juglans regia,Across street from 84 Latona,,default_tree.png
820 Alabama Street,San Francisco,CA,94110,37.758444,-122.41179,Chinese flame tree,Koelreuteria bipinnata,Only example I know of in San Francisco,,koelreuteria_bipinnata.jpg
350 27th Street,San Francisco,CA,94131,37.747066,-122.4282,golden rain tree,Koelreuteria paniculata,,,default_tree.png
414 Shrader Street,San Francisco,CA,94117,37.770726,-122.45227,goldenchain tree,Laburnum x watereri,only example of this tree in San Francisco,,default_tree.png
1476 Guerrero Street,San Francisco,CA,94110,37.747552,-122.42277,crapemyrtle ,Lagerstroemia indica ,,,lagerstroemia_indica.jpg
